date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,average_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure,wind_direction,maximum_wind_speed
2006-01-15,3111D,1450,-0.8,0.0,-2.3,0.7,3.9,,860.0,853.6,15.0,9.7
2006-01-15,3129,609,6.2,12.2,3.9,8.6,3.6,0.6,954.9,948.1,21.0,13.3
2006-01-15,3175,607,6.5,12.8,4.0,9.0,3.6,1.2,950.6,944.0,21.0,8.3
2006-01-15,3191E,1004,2.2,11.0,0.0,4.3,2.8,0.5,907.2,901.6,22.0,9.7
2006-01-15,3194U,664,6.4,0.3,3.8,8.9,0.8,,,,24.0,9.2
2006-01-15,3195,667,6.0,12.1,4.3,7.6,1.4,0.8,944.7,937.6,14.0,8.3
2006-01-15,3196,690,4.2,11.6,1.0,7.4,3.1,1.9,942.4,935.6,23.0,8.3
2006-01-15,3200,620,6.1,11.4,3.5,8.7,2.5,1.4,950.7,943.9,21.0,8.9
2006-01-15,3266A,1532,-1.4,0.1,-2.7,-0.2,2.8,,851.1,844.2,12.0,10.3
2006-01-15,3338,763,4.2,12.8,1.2,7.1,,,938.2,931.2,,
2006-01-16,2462,1894,-3.0,1.6,-4.3,-1.8,1.7,0.0,809.4,804.3,,
2006-01-16,3100B,540,4.4,3.8,3.2,5.6,2.2,,,,99.0,7.2
2006-01-16,3110C,1030,2.4,0.0,0.3,4.6,0.6,,898.3,893.3,99.0,2.2
2006-01-16,3111D,1450,-0.6,3.7,-2.1,0.9,2.2,,858.2,852.6,99.0,6.1
2006-01-16,3129,609,3.6,2.6,2.0,5.3,1.4,0.0,952.0,947.1,99.0,4.7
2006-01-16,3175,607,4.0,3.0,2.5,5.6,2.2,0.0,947.5,943.3,14.0,5.3
2006-01-16,3191E,1004,1.5,0.2,-0.2,3.2,2.8,0.2,903.8,899.6,7.0,7.8
2006-01-16,3194U,664,3.9,0.3,2.5,5.3,1.7,,,,11.0,6.1
2006-01-16,3195,667,4.2,2.4,2.7,5.8,1.9,0.0,941.6,937.0,1.0,6.9
2006-01-16,3196,690,3.5,3.4,1.6,5.4,2.2,0.0,939.5,934.3,14.0,6.7
2006-01-16,3200,620,4.2,3.0,2.2,6.2,2.8,0.0,947.5,942.6,11.0,7.2
2006-01-16,3266A,1532,-1.5,2.8,-2.7,-0.3,1.9,,849.1,843.3,99.0,8.3
2006-01-16,3338,763,3.0,2.8,1.0,5.1,,,935.5,930.1,,
2006-01-17,2462,1894,-2.0,0.4,-4.5,0.4,1.1,1.3,813.5,809.4,,
2006-01-17,3100B,540,7.4,0.0,3.9,10.9,0.3,,,,31.0,3.9
2006-01-17,3110C,1030,3.6,0.0,0.5,6.8,0.8,,900.6,898.0,35.0,5.6
